project,surface_type,source_path,canonical_doc_path,audience,diataxis_type,owner_status,verification_command,gap_status,reviewer_notes
helm-ai-kernel,project-root,.,README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,ci-cd,.github,.github/SURFACE.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,ci-cd,.github/ISSUE_TEMPLATE,.github/SURFACE.md,contributor,how-to,owned-active,make docs-coverage && make docs-truth,covered,GitHub issue templates are owned by the GitHub surface contract and should stay aligned with CONTRIBUTING.md and SECURITY.md.
helm-ai-kernel,build-interface,Makefile,docs/documentation-coverage.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,api-contract,api,api/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,artifacts,artifacts/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,benchmarks,benchmarks,benchmarks/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,core,core/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,data,data/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,deploy,deploy/README.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,configuration,docker-compose.yml,docs/documentation-coverage.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,docs,docs/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,quality-gates,docs/QUALITY_GATES.md,docs/QUALITY_GATES.md,maintainer,how-to,owned-active,make quality-self-test && make quality-list,covered,Canonical Make-first quality gate documentation.
helm-ai-kernel,surface,examples,examples/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,fixtures,fixtures/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,oss-fuzz,oss-fuzz/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,packages,packages/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,proofs,proofs/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,protocol,protocols,protocols/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,reference_packs,reference_packs/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,release,release/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,schema,schemas,schemas/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
